sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
jasperreports;net.sf.jasperreports.engine.fill.JRFillElementContainer;1;1;1;0;6;0;27;127;2;81;6;405;29;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillGraphicElement;0;1;1;0;1;0;13;40;2;27;2;77;18;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillImage;1;1;0;0;0;0;45;207;3;207;5;617;127;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillLine;0;1;1;0;1;0;17;14;3;22;0;52;14;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillObjectFactory;1;1;1;0;3;0;134;231;2;44;4;840;79;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillStaticText;0;1;1;0;1;0;17;37;3;49;2;92;13;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillSubreport;1;1;1;0;5;0;55;153;2;161;4;532;47;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRFillTextElement;1;0;1;0;1;0;38;198;2;151;2;622;171;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRHorizontalFiller;1;0;1;1;15;1;23;305;2;128;8;1214;43;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateImage;1;1;0;0;0;0;27;117;3;103;1;411;108;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRTemplatePrintText;1;1;1;0;1;0;22;209;2;144;3;608;192;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateText;1;0;1;0;1;0;31;180;2;134;1;599;161;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRThreadSubreportRunner;0;1;1;0;4;0;10;28;2;14;3;101;9;HetAgg
jasperreports;net.sf.jasperreports.engine.fill.JRVerticalFiller;1;0;1;0;15;0;23;303;2;131;8;1211;43;HetAgg
jasperreports;net.sf.jasperreports.engine.JRAbstractExporter;1;0;1;0;3;0;40;126;1;94;6;710;49;HetAgg
jasperreports;net.sf.jasperreports.engine.JRAbstractScriptlet;1;0;1;0;5;0;6;48;1;21;3;123;27;HetAgg
jasperreports;net.sf.jasperreports.engine.JRExpressionCollector;1;0;1;0;11;0;85;185;1;265;5;721;80;HetAgg
jasperreports;net.sf.jasperreports.engine.JRImageRenderer;0;1;1;0;1;0;11;57;2;38;2;204;36;HetAgg
jasperreports;net.sf.jasperreports.engine.JRResultSetDataSource;0;0;1;1;2;1;7;80;1;60;5;295;10;HetAgg
jasperreports;net.sf.jasperreports.engine.query.JRHibernateQueryExecuter;1;0;1;0;1;0;17;47;2;58;3;214;21;HetAgg
jasperreports;net.sf.jasperreports.engine.util.JEditorPaneHtmlMarkupProcessor;0;1;1;0;1;0;7;47;2;42;5;160;4;HetAgg
jasperreports;net.sf.jasperreports.engine.util.JRApiWriter;1;0;1;0;119;0;125;479;1;699;5;2136;143;HetAgg
jasperreports;net.sf.jasperreports.engine.util.JRStyledText;1;0;1;0;1;0;8;48;1;45;5;201;16;HetAgg
jasperreports;net.sf.jasperreports.engine.util.JRStyledTextParser;1;0;1;0;5;0;18;121;1;85;5;450;19;HetAgg
jasperreports;net.sf.jasperreports.engine.util.JRStyleResolver;1;0;1;0;13;0;33;328;1;201;2;1134;98;HetAgg
jasperreports;net.sf.jasperreports.engine.util.JRXmlWriteHelper;1;0;1;0;6;0;9;107;1;63;2;394;52;HetAgg
jasperreports;net.sf.jasperreports.engine.xml.JRXmlConstants;1;0;1;0;39;0;48;102;1;45;1;1273;46;HetAgg
jasperreports;net.sf.jasperreports.engine.xml.JRXmlLoader;1;0;1;0;1;0;26;63;1;57;4;248;23;HetAgg
jasperreports;net.sf.jasperreports.engine.xml.JRXmlTemplateWriter;0;1;1;0;6;0;8;25;2;24;3;106;13;HetAgg
jasperreports;net.sf.jasperreports.engine.xml.JRXmlWriter;1;0;1;0;41;0;125;304;2;638;4;1609;121;HetAgg
jasperreports;net.sf.jasperreports.olap.xmla.JRXmlaQueryExecuter;1;0;1;0;5;0;25;80;2;74;3;442;20;HetAgg
