sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
libgdx;com.badlogic.gdx.graphics.g3d.loader.G3dModelLoader;1;0;1;0;1;0;26;125;4;62;10;0.0;348;14;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.Model;0;0;1;1;1;1;38;110;1;65;5;0.0;278;24;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.particles.batches.BillboardParticleBatch;1;1;0;0;0;0;33;56;3;54;3;0.0;373;30;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.particles.batches.PointSpriteParticleBatch;0;1;0;1;0;1;28;19;2;23;2;0.0;94;12;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.particles.emitters.RegularEmitter;0;1;0;1;0;1;13;48;3;24;4;0.0;198;23;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.particles.values.EllipseSpawnShapeValue;0;1;0;1;0;1;10;15;4;13;2;0.0;70;9;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.particles.values.RectangleSpawnShapeValue;0;0;1;1;1;1;6;19;4;5;3;0.0;61;4;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.shaders.DefaultShader;1;1;0;0;0;0;39;167;2;65;4;0.0;704;27;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.utils.BaseAnimationController;1;0;1;0;1;0;16;50;1;33;4;0.0;196;15;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.utils.CameraInputController;0;1;1;0;1;0;8;52;4;18;4;0.0;164;12;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.utils.MeshBuilder;1;0;1;0;7;0;30;201;1;130;3;0.0;629;108;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.utils.ModelBuilder;1;0;1;0;1;0;15;57;1;58;3;0.0;214;38;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.utils.shapebuilders.EllipseShapeBuilder;0;1;1;0;1;0;8;34;2;30;3;0.0;124;20;HetAgg
libgdx;com.badlogic.gdx.graphics.g3d.utils.shapebuilders.RenderableShapeBuilder;0;0;1;1;1;1;13;28;4;22;2;0.0;111;7;HetAgg
libgdx;com.badlogic.gdx.graphics.glutils.ShaderProgram;1;0;1;0;1;0;19;122;1;88;3;0.0;523;87;HetAgg
libgdx;com.badlogic.gdx.graphics.glutils.ShapeRenderer;1;0;1;0;9;0;13;118;1;50;3;0.0;913;60;HetAgg
libgdx;com.badlogic.gdx.graphics.Mesh;1;0;1;1;1;1;37;219;1;92;7;0.0;693;76;HetAgg
libgdx;com.badlogic.gdx.graphics.Texture;0;1;1;1;1;1;19;43;2;50;3;0.0;177;26;HetAgg
libgdx;com.badlogic.gdx.input.GestureDetector;1;0;0;1;0;1;9;52;2;28;3;0.0;303;21;HetAgg
libgdx;com.badlogic.gdx.InputEventQueue;0;0;1;1;1;1;6;37;1;17;2;0.0;176;12;HetAgg
libgdx;com.badlogic.gdx.maps.tiled.AtlasTmxMapLoader;0;0;1;1;1;1;28;29;6;30;4;0.0;144;10;HetAgg
libgdx;com.badlogic.gdx.maps.tiled.TideMapLoader;0;1;1;1;3;1;34;43;4;57;6;0.0;227;11;HetAgg
libgdx;com.badlogic.gdx.maps.tiled.TmxMapLoader;0;1;1;1;1;1;25;25;6;25;4;0.0;128;9;HetAgg
libgdx;com.badlogic.gdx.math.ConvexHull;0;0;1;1;2;1;7;65;1;17;3;0.0;213;11;HetAgg
libgdx;com.badlogic.gdx.math.DelaunayTriangulator;1;0;1;0;1;0;12;60;1;23;4;0.0;266;7;HetAgg
libgdx;com.badlogic.gdx.math.Intersector;1;0;1;0;7;0;18;323;1;82;5;0.0;990;55;HetAgg
libgdx;com.badlogic.gdx.math.Matrix4;1;0;1;0;3;0;8;113;1;59;1;0.0;866;94;HetAgg
libgdx;com.badlogic.gdx.math.Quaternion;0;0;1;1;2;1;8;100;1;45;1;0.0;443;67;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.actions.ParallelAction;0;1;1;0;1;0;5;24;2;16;3;0.0;82;13;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.Actor;1;0;1;1;2;1;20;266;1;82;4;0.0;652;108;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.Group;1;0;1;1;1;1;14;116;2;59;4;0.0;344;37;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.Stage;1;1;1;1;2;1;36;158;2;104;5;0.0;563;61;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Cell;1;0;0;1;0;1;11;239;1;25;2;0.0;760;150;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Container;0;1;1;1;3;1;15;192;4;65;3;0.0;561;106;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Image;1;1;0;0;0;0;16;49;3;30;2;0.0;126;25;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ImageButton;0;1;1;0;1;0;12;33;7;26;3;0.0;104;14;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ImageTextButton;0;1;1;0;2;0;17;55;8;39;3;0.0;145;17;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Label;1;1;0;1;0;1;16;89;3;63;3;0.0;270;35;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.List;0;1;1;1;2;1;21;70;3;55;4;0.0;326;32;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ProgressBar;1;1;0;0;0;0;16;93;3;41;3;0.0;309;36;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ScrollPane;1;0;1;0;2;0;23;275;4;76;4;0.0;794;99;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.SelectBox;0;1;0;1;0;1;28;82;7;73;2;0.0;426;39;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Skin;1;0;1;1;1;1;49;120;1;83;4;0.0;431;37;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Table;1;0;1;0;4;0;25;314;5;103;5;0.0;969;97;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.TextButton;0;1;1;0;1;0;14;38;7;32;3;0.0;112;13;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.TextField;1;1;1;1;1;1;37;194;6;103;4;0.0;842;67;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Touchpad;0;1;1;0;1;0;13;38;3;34;3;0.0;158;19;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Tree;0;1;1;0;1;0;22;132;4;79;3;0.0;666;55;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.VerticalGroup;1;0;0;1;0;1;10;122;4;37;4;0.0;389;49;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.ui.WidgetGroup;0;1;1;0;1;0;8;37;3;23;3;0.0;104;20;HetAgg
libgdx;com.badlogic.gdx.scenes.scene2d.utils.TiledDrawable;0;0;1;1;1;1;7;16;3;26;2;0.0;78;9;HetAgg
libgdx;com.badlogic.gdx.utils.compression.lzma.Decoder;0;0;1;1;1;1;10;32;1;36;8;0.0;228;6;HetAgg
libgdx;com.badlogic.gdx.utils.compression.lzma.Encoder;1;0;1;0;2;0;18;190;2;75;7;0.0;985;34;HetAgg
libgdx;com.badlogic.gdx.utils.I18NBundle;1;0;1;0;1;0;14;60;1;39;3;0.0;190;21;HetAgg
libgdx;com.badlogic.gdx.utils.Json;1;0;1;0;1;0;39;373;1;180;6;0.0;981;87;HetAgg
libgdx;com.badlogic.gdx.utils.JsonValue;1;0;0;1;0;1;17;409;1;60;6;0.0;985;104;HetAgg
libgdx;com.badlogic.gdx.utils.StringBuilder;1;0;0;1;0;1;3;303;1;49;5;0.0;768;93;HetAgg
libgdx;com.badlogic.gdx.utils.UBJsonReader;1;0;0;1;0;1;10;71;1;25;16;0.0;187;15;HetAgg
